Release	Year	Bases	Sequences
3	1982	680338	606
14	1983	2274029	2427
26	1984	3689752	4393
36	1985	5204420	5700
46	1986	9615371	9978
54	1987	16752872	15465
58	1988	24690876	21248
62	1989	37183950	31229
66	1990	51306092	41057
70	1991	77337678	58952
74	1992	120242234	97084
80	1993	163802597	150744
86	1994	230485928	237775
92	1995	425860958	620765
98	1996	730552938	1114581
104	1997	1258290513	1891953
110	1998	2162067871	3043729
115	1999	4653932745	5354511
121	2000	11101066288	10106023
127	2001	15849921438	14976310
133	2002	28507990166	22318883
139	2003	36553368485	30968418
145	2004	44575745176	40604319
151	2005	56037734462	52016762
157	2006	69019290705	64893747
163	2007	83874179730	80388382
169	2008	99116431942	98868465
175	2009	1.10E+11	112910950
181	2010	1.22E+11	129902276
187	2011	1.35E+11	146413798
193	2012	1.48E+11	161140325
199	2013	1.56E+11	169331407
205	2014	1.85E+11	179295769
209	2015	2.00E+11	187066846
